TransID;Tower;Name;Date;Hour;HabitatType;Harvest;Type;Height;Freshness;Phen;Weather;Temperature;OrthCaeS;OrthCaeM;OrthCaeL;OrthEnsS;OrthEnsM;OrthEnsL;OrthUnkS;OrthUnkM;OrthUnkL;LepS;LepM;LepL;ColS;ColM;ColL;DipS;DipM;DipL;AntS;AntM;AntL;OthS;OthM;OthL;Total;Divers
1;Cadolles;AJ;12/06/2023;12:01;FieldLimit;Yes;grass;Short;dry;nonrep;Cloudy;24;1;1;0;1;0;0;2;0;0;0;2;0;0;0;0;1;0;0;9;0;0;4;1;0;22;0.375
2;Cadolles;AJ;12/06/2023;12:07;FieldLimit;Yes;grass;Short;dry;nonrep;Cloudy;24;1;3;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;19;0;0;1;0;0;26;0.25
3;Cadolles;AJ;01/06/2023;13:07;FieldLimit;Yes;grass;Tall;dry;seeds;Cloudy;19;7;2;0;0;0;0;1;0;0;0;0;0;0;0;0;5;0;0;6;0;0;4;0;0;25;0.25
3;Cadolles;AJ;12/06/2023;12:13;FieldLimit;Yes;grass;Tall;dry;both;Cloudy;24;1;1;0;0;0;0;2;2;0;0;0;0;0;0;0;3;0;0;5;0;0;1;0;0;15;0.291666667
4;Cadolles;AJ;01/06/2023;13:17;Wild;No;grass;Short;dry;seeds;Cloudy;19;2;1;0;0;0;0;3;2;0;0;0;0;0;0;0;2;0;0;165;0;0;6;0;0;181;0.291666667
4;Cadolles;AJ;12/06/2023;12:19;Wild;No;grass;Tall;dry;seeds;Cloudy;24;3;1;0;0;0;0;1;0;0;0;2;0;1;0;0;11;0;0;214;0;0;1;0;0;234;0.333333333
5;Cadolles;AJ;01/06/2023;13:12;Wild;No;shrubs;NA;dry;nonrep;Cloudy;19;2;0;0;0;0;0;3;0;0;0;0;0;0;0;0;3;0;0;1;0;0;4;0;0;13;0.208333333
5;Cadolles;AJ;12/06/2023;12:25;Wild;No;shrubs;NA;dry;flowers;Cloudy;24;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;11;0;0;4;0;0;1;0;0;18;0.208333333
6;Cadolles;AJ;01/06/2023;13:22;Wild;No;shrubs;NA;dry;both;Cloudy;19;4;2;0;0;0;0;0;0;0;0;2;0;1;0;0;2;0;0;9;0;0;3;1;0;24;0.333333333
6;Cadolles;AJ;12/06/2023;12:30;Wild;No;shrubs;NA;dry;both;Cloudy;25;4;4;0;0;0;0;0;1;0;0;0;0;1;0;0;9;0;0;71;0;0;2;0;0;92;0.291666667
