ID_captures;metalica_esq;id_individu;id_uncertain;captura_recaptura;any_naixement;sexe;any;data;localitat;metode2;metode_captura;idEstructura;idCaixaNiu;idCaixa_old;edat_Euring;edat;pvc_d2;pvc_d;tag_esq;tag_esq_old;colorTag;tag_uncertainty;ala;ala_total;pp3;cua;becLlargada;becAlcada;tars;pes;alcada_ou;amplada_ou;volum_ou;crossfostering_dia;crossfostering_caixa;ploma;sang;gps;gps_old
1;G31500;IND0001;NA;captura;2014;NA;2014;09/06/2014;RocaGuilla;captura_poll;CaixaNiu;RocaGuilla;RG_22;22;1;poll;PVC200;200;no;NA;NA;NA;134;NA;NA;NA;NA;NA;44.76;208;NA;NA;NA;NA;NA;si;no;no;NA
10;G31259;IND0010;NA;captura;2014;NA;2014;09/06/2014;RocaGuilla;captura_poll;CaixaNiu;RocaGuilla;RG_4;4;1;poll;PVC209;209;no;NA;NA;NA;164;NA;NA;NA;NA;NA;44.63;206;NA;NA;NA;NA;NA;si;no;no;NA
2855;G31259;IND0010;NA;recaptura;2014;NA;2021;08/06/2021;PlaRoquis;recaptura_adult;ObturarCaixaNiu;PlaRoquis;PR_32;32;16;adult;PVC209;209;762AB5109F;no;negre;correct;229;NA;177;138;40.78;15.94;43.41;152.5;NA;NA;NA;NA;NA;si;no;no;NA
102;G7047;IND0100;NA;captura;NA;NA;2015;02/06/2015;OsBalaguer;captura_adult;ObturarCaixaNiu;OsBalaguer;OB_5;5;4;adult;PVC331;331;NA;NA;verd;correct;244;NA;170;137;34.14;15.46;46.41;234;NA;NA;NA;NA;NA;si;no;no;NA
1038;G7251;IND1000;NA;captura;2015;mascle;2015;15/06/2015;RocaGuilla;captura_poll;CaixaNiu;RocaGuilla;RG_7;7;1;poll;PVC38A;38A;76192F32A7;76192F32A7;vermell;correct;NA;NA;NA;NA;NA;NA;45.65;204;NA;NA;NA;NA;NA;si;no;no;NA
3441;G7251;IND1000;NA;recaptura;2015;mascle;2022;13/06/2022;RocaGuilla;recaptura_adult;ObturarCaixaNiu;RocaGuilla;RG_16;16;16;adult;PVC38A;38A;no;NA;NA;NA;249.5;NA;190;139;39.03;15.97;45.87;290.2;NA;NA;NA;NA;NA;si;no;2209;NA
1039;G7253;IND1001;NA;captura;2015;NA;2015;15/06/2015;RocaGuilla;captura_poll;CaixaNiu;RocaGuilla;RG_6;6;1;poll;PVC38C;38C;NA;NA;vermell;correct;NA;NA;NA;NA;NA;NA;46.32;220;NA;NA;NA;NA;NA;si;no;no;NA
1040;G7252;IND1002;NA;captura;2015;NA;2015;15/06/2015;RocaGuilla;captura_poll;CaixaNiu;RocaGuilla;RG_6;6;1;poll;PVC38F;38F;NA;NA;vermell;correct;NA;NA;NA;NA;NA;NA;46.62;184;NA;NA;NA;NA;NA;si;no;no;NA
1041;G7254;IND1003;NA;captura;2015;NA;2015;15/06/2015;RocaGuilla;captura_poll;CaixaNiu;RocaGuilla;RG_6;6;1;poll;PVC38H;38H;NA;NA;vermell;correct;NA;NA;NA;NA;NA;NA;44.32;186;NA;NA;NA;NA;NA;si;no;no;NA
1042;G7255;IND1004;NA;captura;2015;NA;2015;15/06/2015;RocaGuilla;captura_poll;CaixaNiu;RocaGuilla;RG_6;6;1;poll;PVC38J;38J;NA;NA;vermell;correct;NA;NA;NA;NA;NA;NA;43.37;190;NA;NA;NA;NA;NA;si;no;no;NA
1043;G7257;IND1005;NA;captura;2015;femella;2015;15/06/2015;RocaGuilla;captura_poll;CaixaNiu;RocaGuilla;RG_4;4;1;poll;PVC38L;38L;76192F27F5;76192F27F5;no;correct;NA;NA;NA;NA;NA;NA;42.05;184;NA;NA;NA;NA;NA;si;no;no;NA
1044;G7258;IND1006;NA;captura;2015;mascle;2015;15/06/2015;RocaGuilla;captura_poll;CaixaNiu;RocaGuilla;RG_4;4;1;poll;PVC38M;38M;76193040F9;76193040F9;vermell;correct;NA;NA;NA;NA;NA;NA;43.99;230;NA;NA;NA;NA;NA;si;no;no;NA
1045;G7256;IND1007;NA;captura;2015;mascle;2015;15/06/2015;RocaGuilla;captura_poll;CaixaNiu;RocaGuilla;RG_4;4;1;poll;PVC38N;38N;76192F6EE5;76192F6EE5;vermell;correct;NA;NA;NA;NA;NA;NA;43.81;222;NA;NA;NA;NA;NA;si;no;no;NA
1046;G7262;IND1008;NA;captura;2015;NA;2015;12/06/2015;SioFita;captura_poll;CaixaNiu;SioFita;NA;2;1;poll;PVC38P;38P;no;NA;NA;NA;NA;NA;NA;NA;NA;NA;45.26;218;NA;NA;NA;NA;NA;si;no;no;NA
1047;sense_12;IND1009;NA;captura;2015;NA;2015;12/06/2015;SioFita;captura_poll;CaixaNiu;SioFita;NA;2;1;poll;PVC38R;38R;no;NA;NA;NA;NA;NA;NA;NA;NA;NA;43.92;188;NA;NA;NA;NA;NA;si;no;no;NA
103;G7035;IND0101;NA;captura;NA;NA;2015;11/06/2015;OsBalaguer;captura_adult;ObturarCaixaNiu;OsBalaguer;OB_5;5;4;adult;PVC332;332;NA;NA;verd;correct;228;NA;172;125;31.03;14.81;41.32;199;NA;NA;NA;NA;NA;si;no;no;NA
1048;G7261;IND1010;NA;captura;2015;NA;2015;12/06/2015;SioFita;captura_poll;CaixaNiu;SioFita;NA;2;1;poll;PVC38T;38T;no;NA;NA;NA;NA;NA;NA;NA;NA;NA;42.88;190;NA;NA;NA;NA;NA;si;no;no;NA
1049;G7264;IND1011;NA;captura;2015;NA;2015;12/06/2015;SioFita;captura_poll;CaixaNiu;SioFita;NA;1;1;poll;PVC38U;38U;no;NA;NA;NA;NA;NA;NA;NA;NA;NA;44.5;198;NA;NA;NA;NA;NA;si;no;no;NA
1050;G7266;IND1012;NA;captura;2015;NA;2015;12/06/2015;SioFita;captura_poll;CaixaNiu;SioFita;NA;1;1;poll;PVC38V;38V;no;NA;NA;NA;NA;NA;NA;NA;NA;NA;45.06;194;NA;NA;NA;NA;NA;si;no;no;NA
1051;G7265;IND1013;NA;captura;2015;NA;2015;12/06/2015;SioFita;captura_poll;CaixaNiu;SioFita;NA;1;1;poll;PVC38W;38W;no;NA;NA;NA;NA;NA;NA;NA;NA;NA;42.18;178;NA;NA;NA;NA;NA;si;no;no;NA
1052;G7263;IND1014;NA;captura;2015;NA;2015;12/06/2015;SioFita;captura_poll;CaixaNiu;SioFita;NA;1;1;poll;PVC38X;38X;no;NA;NA;NA;NA;NA;NA;NA;NA;NA;43.27;177;NA;NA;NA;NA;NA;si;no;no;NA
1053;G7169;IND1015;NA;captura;2015;NA;2015;18/06/2015;OsBalaguer;captura_poll;CaixaNiu;OsBalaguer;OB_17;17;1.6;poll;PVC39A;39A;76193C4874;76193C4874;negre;correct;NA;NA;NA;NA;NA;NA;46.01;199;NA;NA;NA;NA;NA;si;no;no;NA
1054;G7171;IND1016;NA;captura;2015;NA;2015;18/06/2015;OsBalaguer;captura_poll;CaixaNiu;OsBalaguer;OB_17;17;1.5;poll;PVC39C;39C;76193C43E5;76193C43E5;negre;correct;NA;NA;NA;NA;NA;NA;43.24;171;NA;NA;NA;NA;NA;si;no;no;NA
1055;G7172;IND1017;NA;captura;2015;NA;2015;18/06/2015;OsBalaguer;captura_poll;CaixaNiu;OsBalaguer;OB_12;12;1.5;poll;PVC39F;39F;76193D369D;76193D369D;verd;correct;NA;NA;NA;NA;NA;NA;40.07;189;NA;NA;NA;NA;NA;si;no;no;NA
1056;G7175;IND1018;NA;captura;2015;NA;2015;18/06/2015;OsBalaguer;captura_poll;CaixaNiu;OsBalaguer;OB_12;12;1.5;poll;PVC39H;39H;76193D09E9;76193D09E9;verd;correct;NA;NA;NA;NA;NA;NA;45.98;225;NA;NA;NA;NA;NA;si;no;no;NA
1057;G7177;IND1019;NA;captura;2015;NA;2015;18/06/2015;OsBalaguer;captura_poll;CaixaNiu;OsBalaguer;OB_12;12;1.5;poll;PVC39J;39J;76193D48CC;76193D48CC;verd;correct;NA;NA;NA;NA;NA;NA;43.13;200;NA;NA;NA;NA;NA;si;no;no;NA
