TransID	Tower	Name	DayNum	Date	Hour	HabitatType	Harvest	Temperature	OrthCaeS	OrthCaeM	OrthCaeL	OrthEnsS	OrthEnsM	OrthEnsL	OrthUnkS	OrthUnkM	OrthUnkL	LepS	LepM	LepL	ColS	ColM	ColL	DipS	DipM	DipL	AntS	AntM	AntL	OthS	OthM	OthL	Total
1	RocaGuilla	AJ	0	01/05/2023	12:05	Wild	NA	19	0	3	0	0	0	0	1	1	0	0	1	0	0	0	0	0	2	0	0	0	0	1	0	0	9
2	RocaGuilla	AJ	0	01/05/2023	12:12	Wild	NA	19	2	7	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	2	0	0	1	0	0	16
3	RocaGuilla	AJ	0	01/05/2023	11:52	FieldLimit	No	19	0	19	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	26
4	RocaGuilla	AJ	0	01/05/2023	11:46	FieldLimit	No	19	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	5
5	RocaGuilla	AJ	0	01/05/2023	11:41	Wild	NA	18	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	7
6	RocaGuilla	AJ	0	01/05/2023	11:31	FieldLimit	No	18	0	6	0	1	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	12
1	ValldelsPous	AJ	0	01/05/2023	9:30	FieldLimit	No	14	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	1	0	0	52
2	ValldelsPous	AJ	0	01/05/2023	9:40	FieldLimit	No	14	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	7
3	ValldelsPous	AJ	0	01/05/2023	9:47	FieldLimit	No	14	1	1	0	0	1	0	7	2	0	0	0	0	0	1	0	2	0	0	104	0	0	4	1	0	124
4	ValldelsPous	AG	0	01/05/2023	10:08	Wild	NA	11	22	2	0	0	0	0	0	4	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	32
5	ValldelsPous	MP	0	01/05/2023	10:04	Wild	NA	11	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	39	0	0	0	0	0	56
6	ValldelsPous	AJ	0	01/05/2023	10:12	Wild	NA	16	5	0	0	1	0	0	10	3	0	0	0	0	1	0	0	1	0	0	3	0	0	7	0	0	31
1	PlaRoquis	AJ	1	02/05/2023	10:43	Wild	NA	16	1	3	0	0	0	0	1	0	0	1	0	0	3	0	0	1	0	0	116	0	0	4	0	0	130
2	PlaRoquis	AJ	1	02/05/2023	10:36	Wild	NA	16	1	1	0	0	0	0	4	0	0	0	0	0	1	0	0	2	0	0	7	0	0	1	0	0	17
3	PlaRoquis	AJ	1	02/05/2023	10:30	Wild	NA	16	2	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	11
4	PlaRoquis	AJ	1	02/05/2023	10:23	FieldLimit	No	16	3	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	33	0	0	4	0	0	44
5	PlaRoquis	AJ	1	02/05/2023	10:15	FieldLimit	No	15	3	4	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	13
6	PlaRoquis	AJ	1	02/05/2023	10:08	FieldLimit	No	15	5	5	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	367	0	0	2	0	0	382
1	TossalRodo	AJ	1	02/05/2023	13:09	FieldLimit	No	20	0	2	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	8
2	TossalRodo	AJ	1	02/05/2023	13:15	FieldLimit	No	20	1	2	0	0	0	0	1	0	0	0	3	0	0	0	0	3	1	0	2	0	0	1	0	0	14
3	TossalRodo	AJ	1	02/05/2023	13:23	FieldLimit	No	20	0	5	0	0	0	0	7	5	0	0	4	0	0	0	0	1	0	0	0	0	0	1	1	0	24
4	TossalRodo	AJ	1	02/05/2023	13:30	Wild	NA	21	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	2	0	0	12
5	TossalRodo	AJ	1	02/05/2023	13:35	Wild	NA	21	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	5
6	TossalRodo	AJ	1	02/05/2023	13:40	Wild	NA	21	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	6	0	0	7	0	0	1	0	0	15
1	Cadolles	AJ	2	03/05/2023	9:47	FieldLimit	No	18	4	3	0	0	0	0	5	0	0	0	0	0	1	0	0	1	0	0	2	0	0	3	1	0	20
2	Cadolles	AJ	2	03/05/2023	9:56	FieldLimit	No	18	3	1	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	24	0	0	0	0	0	31
3	Cadolles	AJ	2	03/05/2023	10:02	FieldLimit	No	18	3	1	0	1	0	0	1	0	0	0	4	0	3	0	0	1	1	0	3	0	0	1	0	0	19
4	Cadolles	AJ	2	03/05/2023	10:13	Wild	NA	19	4	0	0	0	0	0	3	0	0	0	0	0	1	0	0	1	0	0	2	0	0	1	0	0	12
5	Cadolles	AG	2	03/05/2023	10:13	Wild	NA	12	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	9	0	0	0	0	0	1	0	0	12
6	Cadolles	AJ	2	03/05/2023	10:21	Wild	NA	19	4	1	0	0	0	0	5	0	0	0	1	0	2	0	0	1	0	0	4	0	0	5	0	0	23
2	TossalFonta	AJ	7	08/05/2023	10:24	FieldLimit	No	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	2	0	0	34
3	TossalFonta	AJ	7	08/05/2023	10:30	FieldLimit	No	18	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	1	0	0	4	0	0	1	0	0	9
4	TossalFonta	AJ	7	08/05/2023	10:43	Wild	NA	18	6	1	0	0	0	0	4	2	0	0	1	0	0	0	0	3	0	0	195	0	0	4	0	0	216
5	TossalFonta	AJ	7	08/05/2023	10:48	Wild	NA	18	3	0	0	0	1	0	2	6	0	0	0	0	0	0	0	3	0	0	104	0	0	0	0	0	119
6	TossalFonta	AJ	7	08/05/2023	10:52	Wild	NA	18	1	0	0	0	0	0	2	4	0	0	3	0	0	0	0	0	1	0	168	0	0	2	0	0	181
