id_Social;any;data;hora;idEstructura;;;;;;;;
1;2019;09/10/2019;NA;RocaGuilla;;;;;;;;
2;2019;09/10/2019;NA;RocaGuilla;;;;;;;;
3;2019;09/10/2019;10:49;RocaGuilla;;;;;;;;
4;2019;09/10/2019;11:00;Palmero;;;;;;;;
5;2019;09/10/2019;11:16;PlaRoquis;;;;;;;;
6;2019;09/10/2019;11:35;PlaRoquis;;;;;;;;
7;2020;15/01/2020;NA;RocaGuilla;;;;;;;;
8;2020;15/01/2020;12:17;Ivars;;;;;;;;
9;2020;15/01/2020;12:42;Ivars;;;;;;;;
10;2020;29/04/2020;9:30;TossalRodo;;;;;;;;
11;2020;29/04/2020;10:15;StaBarbara;;;;;;;;
12;2020;29/04/2020;11:10;OsBalaguer;;;;;;;;
13;2020;29/04/2020;11:30;OsBalaguer;;;;;;;;
14;2020;29/04/2020;NA;Ivars;;;;;;;;
15;2020;29/04/2020;11:51;Ivars;;;;;;;;
16;2020;29/04/2020;12:12;Ivars;;;;;;;;
17;2020;29/04/2020;13:10;RocaGuilla;;;;;;;;
18;2020;29/04/2020;14:00;Palmero;;;;;;;;
19;2020;29/04/2020;16:18;PlaRoquis;;;;;;;;
20;2020;29/04/2020;17:40;Biscarri;;;;;;;;
21;2020;06/05/2020;9:15;TossalRodo;;;;;;;;
22;2020;06/05/2020;9:59;OsBalaguer;;;;;;;;
23;2020;06/05/2020;10:30;Cantaperdius;;;;;;;;
24;2020;06/05/2020;11:21;Ivars;;;;;;;;
25;2020;06/05/2020;12:20;ValldelsPous;;;;;;;;
26;2020;06/05/2020;12:48;PlaRoquis;;;;;;;;
27;2020;06/05/2020;13:36;Palmero;;;;;;;;
28;2020;06/05/2020;17:06;Rabinat;;;;;;;;
29;2020;13/05/2020;10:00;TossalRodo;;;;;;;;
30;2020;13/05/2020;11:00;OsBalaguer;;;;;;;;
31;2020;13/05/2020;11:43;Ivars;;;;;;;;
32;2020;13/05/2020;13:07;RocaGuilla;;;;;;;;
33;2020;13/05/2020;14:00;Palmero;;;;;;;;
34;2020;13/05/2020;14:24;PlaRoquis;;;;;;;;
35;2020;13/05/2020;16:02;TossalFonta;;;;;;;;
36;2020;18/05/2020;8:35;TossalFonta;;;;;;;;
37;2020;18/05/2020;9:55;MasMel12;;;;;;;;
38;2020;18/05/2020;9:57;PlaRoquis;;;;;;;;
39;2020;18/05/2020;10:32;Palmero;;;;;;;;
40;2020;18/05/2020;12:41;Ivars;;;;;;;;
41;2020;18/05/2020;13:29;OsBalaguer;;;;;;;;
42;2020;18/05/2020;14:10;TossalRodo;;;;;;;;
43;2020;27/05/2020;9:08;RocaGuilla;;;;;;;;
44;2020;27/05/2020;9:08;RocaGuilla;;;;;;;;
45;2020;27/05/2020;10:20;Palmero;;;;;;;;
46;2020;27/05/2020;11:20;PlaRoquis;;;;;;;;
47;2020;27/05/2020;12:39;Ivars;;;;;;;;
48;2020;27/05/2020;13:20;Cantaperdius;;;;;;;;
49;2020;27/05/2020;14:58;TossalRodo;;;;;;;;
50;2020;28/05/2020;12:00;Ermitans;;;;;;;;
51;2020;28/05/2020;13:00;Cadolles;;;;;;;;
52;2020;28/05/2020;13:56;Montrepos;;;;;;;;
53;2020;28/05/2020;14:21;Biscarri;;;;;;;;
54;2020;28/05/2020;15:20;TossalFonta;;;;;;;;
55;2020;28/05/2020;16:10;Rabinat;;;;;;;;
56;2020;03/06/2020;10:00;TossalRodo;;;;;;;;
57;2020;03/06/2020;11:20;Ivars;;;;;;;;
58;2020;04/06/2020;9:04;ValldelsPous;;;;;;;;
59;2020;04/06/2020;13:30;PlaRoquis;;;;;;;;
60;2020;09/06/2020;8:46;Rabinat;;;;;;;;
61;2020;09/06/2020;11:45;RocaGuilla;;;;;;;;
62;2020;09/06/2020;11:23;Juneda;;;;;;;;
63;2020;11/06/2020;8:26;Cadolles;;;;;;;;
64;2020;11/06/2020;11:20;TossalRodo;;;;;;;;
65;2020;17/06/2020;9:05;Rabinat;;;;;;;;
66;2020;17/06/2020;10:10;TossalFonta;;;;;;;;
67;2020;17/06/2020;12:15;RocaGuilla;;;;;;;;
